archive_url,archive_timestamp,url_href,url_domain,url_string,url_index,url_is_story,url_width,url_height,url_x,url_y,url_cell,url_font_size
http://www.drudgereport.com/,2014-10-31 12:05:33.121439,http://www.intermarkets.net/adfeedback/form.htm?Plcmt=none&ATFlgt=none&Ntwk=none&NCrt=none,www.intermarkets.net,AD FEEDBACK,0,False,72,13,647,11,c1,10px
http://www.drudgereport.com/,2014-10-31 12:05:33.121439,http://stlouis.cbslocal.com/2014/10/30/ferguson-store-owners-customers-too-scared-to-bring-business-to-the-area/,stlouis.cbslocal.com,FEAR GRIPS FERGUSON...,1,True,169,17,8,95,a1,13px
http://www.drudgereport.com/,2014-10-31 12:05:33.121439,http://blogs.rollcall.com/rothenblog/obama-poised-to-set-new-midterm-loss-record/,blogs.rollcall.com,DEMOCRAT HALLOWEEN: PARTY LOSSES 'COULD BE HISTORIC',2,True,1248,110,59.5,570,a3,48px
http://www.drudgereport.com/,2014-10-31 12:05:33.121439,http://www.washingtontimes.com/news/2014/oct/29/democrats-use-race-baiting-fliers-to-spur-black-vo/,www.washingtontimes.com,PAPER: Desperate Dems resort to race baiting in final days of election...,3,True,382,34,13,787,a4,13px
http://www.drudgereport.com/,2014-10-31 12:05:33.121439,http://www.businessinsider.com/charlie-rangel-some-republicans-believe-that-slavery-isnt-over-2014-10,www.businessinsider.com,RANGEL: Some Republicans Believe 'Slavery Isn't Over'...,4,False,301,17,13,838,a4,13px
http://www.drudgereport.com/,2014-10-31 12:05:33.121439,http://dailycaller.com/2014/10/30/landrieu-obama-and-i-arent-popular-in-the-south-because-its-racist-and-sexist/,dailycaller.com,Landrieu blames Southern hostility...,5,True,231,17,13,872,a4,13px
http://www.drudgereport.com/,2014-10-31 12:05:33.121439,http://fusion.net/video/24469/spike-lee-on-race-in-america-if-youre-african-american-in-this-country-you-know-what-the-deal-is/,fusion.net,SPIKE LEE: Post-Racial America is 'Bullshit'...,6,True,292,17,13,906,a4,13px
http://www.drudgereport.com/,2014-10-31 12:05:33.121439,http://news.yahoo.com/graham-remark-helping-white-men-joke-182608380--election.html,news.yahoo.com,GRAHAM: Remark About Helping White Men Was Joke...,7,False,349,17,13,940,a4,13px
http://www.drudgereport.com/,2014-10-31 12:05:33.121439,http://nypost.com/2014/10/30/democrats-threaten-voters-to-get-to-the-polls/,nypost.com,Pols send voters threatening letters...,8,True,232,17,13,971,a4,13px
http://www.drudgereport.com/,2014-10-31 12:05:33.121439,http://www.washingtontimes.com/news/2014/oct/30/fundraising-emails-try-to-shame-last-minute-dollar/,www.washingtontimes.com,Shame with fundraising emails...,9,True,205,17,13,1005,a4,13px
http://www.drudgereport.com/,2014-10-31 12:05:33.121439,http://www.weeklystandard.com/blogs/gillespie-closing-gap_817787.html,www.weeklystandard.com,Ed Gillespie closing gap in VA...,10,False,203,17,13,1036,a5,13px
http://www.drudgereport.com/,2014-10-31 12:05:33.121439,http://www.nytimes.com/2014/10/31/world/europe/new-russian-boldness-revives-a-cold-war-tradition-testing-the-other-side-.html,www.nytimes.com,NYT: RUSSIA SUSPECTED OF HACKING WHITE HOUSE COMPUTERS...,11,True,348,34,13,1067,a5,13px
http://www.drudgereport.com/,2014-10-31 12:05:33.121439,http://www.businessweek.com/articles/2014-10-30/tim-cook-im-proud-to-be-gay,www.businessweek.com,COLUMN: iGay...,12,True,104,17,13,1244,a5,13px
http://www.drudgereport.com/,2014-10-31 12:05:33.121439,http://www.washingtonpost.com/business/economy/tim-cook-comes-out-on-public-stage-pulling-secretive-apple-with-him/2014/10/30/128e08f4-6058-11e4-9f3a-7e28799e0549_story.html,www.washingtonpost.com,"Tim Cook comes out on public stage, pulling secretive APPLE with him...",13,True,381,17,13,1278,a5,13px
http://www.drudgereport.com/,2014-10-31 12:05:33.121439,http://www.independent.co.uk/news/people/news/russian-politician-says-apple-ceo-tim-cook-should-be-banned-from-country-after-coming-out-as-gay-9829670.html,www.independent.co.uk,Russian politician says CEO 'should be banned' from country...,14,True,331,34,13,1312,a6,13px
http://www.drudgereport.com/,2014-10-31 12:05:33.121439,http://www.washingtonpost.com/blogs/the-switch/wp/2014/10/30/how-one-mans-private-files-ended-up-on-apples-icloud-without-his-consent/,www.washingtonpost.com,APPLE criticized after users' private files end up in cloud...,15,True,367,17,13,1360,a6,13px
http://www.drudgereport.com/,2014-10-31 12:05:33.121439,http://www.politico.com/blogs/media/2014/10/facebook-data-mining-for-political-sentiment-197933.html,www.politico.com,"FACEBOOK data mining for political sentiment...

Share data with ABCNEWSBUZZFEED...",16,True,303,51,13,1391,a6,13px
http://www.drudgereport.com/,2014-10-31 12:05:33.121439,http://www.nytimes.com/2014/10/31/world/middleeast/israel-palestinians-jerusalem-temple-mount-al-aksa.html,www.nytimes.com,Israel to Reopen Religious Site in Jerusalem as Tensions Rise...,17,True,355,34,13,1456,a6,13px
